	x, Bz	y, Bz	z, Bz		x,Bx	y, Bx	z, Bx
0	1598.65245788174	1598.65245788174	1108.11174645895	0	1598.65245788174	1598.65245788174	1108.11174645895
0.001	1599.12528211418	1599.12528211418	1109.08628707443	0.001	1602.42774134651	1582.43875455608	1109.81566560807
0.002	1591.93972594488	1591.93972594488	1109.08633703519	0.002	1602.43065455407	1520.24605108172	1214.95952581288
0.003	1594.4	1594.4	1109.08684569092	0.003	1602.44592177649	1433.82900806736	1274.40670369527
0.004	1596.311	1596.311	1109.08679581195	0.004	1602.45314613001	1364.34236230654	1301.01182799635
0.005	1597.139	1597.139	1109.08712246327	0.005	1602.46161035868	1329.49400230541	1309.86664722315
0.007	1597.876	1597.876	1109.08801672222	0.007	1602.48542277746	1315.1792459195	1312.43806235802
0.01	1598.273	1598.273	1109.08932354567	0.01	1602.53503429237	1312.44526417819	1311.16710885599
0.02	1598.57	1598.57	1109.09960838368	0.1	1612.0852534187	1312.7574293257	1311.47269564079
0.05	1598.722	1598.722	1109.16947139872	0.2	1612.0852534187	1312.7574293257	1311.47269564079
0.1	1598.9915	1598.9915	1109.4191830608				
0.2	1600.026	1600.026	1110.41695405456				
