	lsx	lsx, sc-DD	lsx, G-DD
0	30.9478619772363	30.8948296953332	21.7739
0.001	30.3589273478436	30.3082682402588	21.5658032
0.002	28.8766506525722	28.8321688158664	21.01383496
0.003	27.0344569350135	26.9982694734807	20.26773494
0.004	25.2062429840058	25.177198347286	19.45556397
0.005	23.5491582152032	23.5270345584007	18.65266927
0.007	20.8394410996979	20.8278887760248	17.19275713
0.01	17.9537119992131	17.9516256217672	15.42641184
0.02	13.0115986553592	13.0202218617597	11.88557781
0.05	8.28842234755673	8.30590735425183	7.92554998
0.1	5.86902112881234	5.89398277251304	5.70460126
0.2	4.16289007334217	4.19798397259066	4.06977121
