	lsy	lsy, sc-DD	lsx, G-DD
0	21.9014155769358	21.8305327326715	21.7739
0.001	21.3007986880832	21.2340297537317	21.5658032
0.002	19.950545037406	19.8907997549137	21.01383496
0.003	18.4951836265854	18.4404190293744	20.26773494
0.004	17.2611083975609	17.2122336807717	19.45556397
0.005	16.3142112736794	16.2711430794809	18.65266927
0.007	15.0158656114866	14.9811797559646	17.19275713
0.01	13.8732502339164	13.8576110990958	15.42641184
0.02	11.6135328232059	11.6206218465424	11.88557781
0.05	8.00131361304477	8.01429568368588	7.92554998
0.1	5.78896493889947	5.80954795963844	5.70460126
0.2	4.13930983106538	4.17071321183275	4.06977121
