	lsz	lsz, sc-DD	lsz, G-DD
0	30.2669239627967	30.2698762351629	18.133
0.001	29.245088385234	29.2471570555914	18.133
0.002	26.7730557605422	26.7740609487875	18.133
0.003	23.8653413914458	23.8661752141144	18.133
0.004	22.5317693066537	22.5311956211451	18.133
0.005	21.93702520559	21.9354552946454	18.133
0.007	21.3510437653713	21.3477396410554	18.133
0.01	20.8728796551024	20.8679727057017	18.133
0.02	19.8760059782767	19.8683789601662	18.133
0.05	18.8120416954195	18.8013428351609	18.133
0.1	18.4188620920288	18.4067283901766	18.133
0.2	18.2658127352291	18.2533148878721	18.133
